comments,sentiment
"['толсто', 'аж', 'тонко', 'весело']",1
"['казаться', 'это', 'пародия', 'мойти', 'пайтон']",0
"['типичный', 'осада', 'железный', 'войнов', 'крепость', 'имперский', 'кулак']",1
"['просто', 'немного', 'унижение', 'железный', 'плакса']",1
['удивлённый'],1
"['кто', 'интересно', 'читать', 'классно', 'осада', 'жв', 'описать', 'грэм', 'макнилла', 'омнибус', 'железный', 'воин', 'полукровка', 'хонсю']",1
['перевод'],0
"['юмор', 'весь', 'полок', 'смеяться']",1
['ересь'],0
"['госпожа', 'комиссар', 'бдеть', 'дисциплина']",1
"['очень', 'практичный', 'шланг', 'голова', 'входить', 'это', 'дерьмо', 'вкачивать', 'выкачивать']",0
"['какой', 'крыло', 'атасный', 'ребята']",0
"['лоял', 'шланг', 'положить', 'подача', 'варп', 'даста']",0
"['друг', 'просить', 'фула', 'братец', 'грозить', 'инквизиция', 'пожаловаться']",1
"['это', 'нурглячий', 'пиявка', 'атакуй']",0
"['ангел', 'движ', 'пойти']",1
"['знать', 'художник', 'версия', 'член']",1
"['блютуз', 'гарнитур', 'поход']",1
"['одобрить', 'инквизиция']",1
"['одмина', 'волколюба', 'сказать', 'свой', 'саплай']",1
"['выпускной', 'схоля']",0
['лояльность'],0
"['шутка', 'арт', 'потрясный']",1
"['звук', 'неистовый', 'распаление', 'вера', 'критический', 'заряд', 'лазгана']",0
"['стоп', 'картинка', 'мисс', 'декабрь', 'ноябрь', 'это', 'уловка', 'человек', 'верить', 'картинка', 'хотеть', 'испортить', 'недрочабрь']",0
"['разглядеть', 'мефистон', 'справа', 'задний', 'план']",1
"['бояться', 'повеноваться']",1
"['фулла', 'быть', 'первый', 'число']",1
"['пс', 'это', 'девятка', 'тихо', 'вернуть', 'варп', 'дать', 'сила', 'ваала', 'поход']",0
"['это', 'агитационный', 'имперский', 'плакат', 'тип', 'записываться', 'гвардия']",1
"['хороший', 'пикт', 'госпожа']",1
"['ясно', 'близа', 'сп', 'сделать', 'перс', 'свой', 'недо', 'это', 'шутка']",0
"['это', 'модификация', 'кастелян']",0
"['чебурашка', 'механикус']",1
['автоматон'],0
"['почтенный', 'сенатор', 'начало', 'хотеть', 'восхвалять', 'хотеть', 'почтить', 'отец', 'честь', 'объявлять', 'свой', 'срок', 'пост', 'консул', 'начало', 'новый', 'эра', 'эра', 'нравственно', 'добродетель', 'благородство', 'распутство', 'хаос', 'который', 'мы', 'довестись', 'пережить', 'положить', 'конец', 'рим', 'вечный']",0
"['аниматрица', 'вспоминаться']",1
"['восстать', 'машина', 'против', 'человечество']",1
"['дык', 'против']",1
"['чётный', 'день', 'неделя', 'нечётный', 'наоборот']",0
"['рог', 'сигвальда', 'ужасный', 'это', 'безвкусица', 'хаос', 'получить', 'рог', 'крыло', 'летучий', 'мышь', 'приделать', 'оригинальность']",0
"['типичный', 'первый']",0
"['пройти', 'тыс', 'год', 'нарушать', 'женевский', 'конвенция', 'весело']",1
